Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
Indicate which of the following is NOT an effect of nitro derivatives:;"Vasodilation at venous level with a decrease in ventricular end-diastolic pressure and therefore in the ""preload""";"Arteriolar vasodilation with reduction of ventricular systolic pressure and therefore of the ""afterload""";Increased elimination of K+ ions;Vasodilation at the coronary level (evident in patients with variant angina);Reduction of blood pressure values;Increased elimination of K+ ions;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5642;
Indicate which of the following It is NOT a side effect of ACE inhibitors:;Fetal toxicity;Cough (5/20% of treated patients);Increased glomerular filtration in subjects with renal artery stenosis;Hyperkalemia;Hypotension;Increased glomerular filtration in subjects with renal artery stenosis;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5643;
In the gastrointestinal tract, Nitroxide induces smooth muscle relaxation through all but one of the following mechanisms, indicate which one:;Inhibition of L-type voltage-gated Ca<sup>2+</sup> channels;Activation of GMPc-dependent K+ channels;Increased GMPc;Inhibition of Ca<sup>2+</sup>-dependent K+ channels;Activation of protein kinase C;Increased GMPc;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5644;
Compared with morphine, a single epidural administration of fentanyl is associated with:;Longer duration of action;Increased incidence of respiratory depression;More restricted segmental spread;Increased incidence of pruritum;Delayed onset of analgesia;Increased incidence of respiratory depression;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5645;
Compared with morphine, a single epidural administration of fentanyl is associated with:;Longer duration of action;Increased incidence of respiratory depression;More restricted segmental spread;Increased incidence of pruritum;Delayed onset of analgesia;Increased incidence of respiratory depression;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5646;
Which of the following effects is not specific to histamine? :;Orthostatic hypotension;Increased peripheral resistors;Antikinetotic effects;Local anesthetic effects;Sedation;Increased peripheral resistors;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5647;
Which of the following is the most likely effect of intramuscular ketamine used for induction of anesthesia in a 2-years-old child undergoing elective surgery?;Respiratory depression;Decreased intracranial pressure;Bronchoconstriction;Decreased heart rate;Increased salivation;Increased salivation;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5648;
Which of the following is the most likely effect of intramuscular ketamine used for induction of anesthesia in a 2-years-old child undergoing elective surgery?;Respiratory depression;Decreased intracranial pressure;Bronchoconstriction;Decreased heart rate;Increased salivation;Increased salivation;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5649;
Which of the following pharmacological effects is NOT caused by HEXAMETHONIUM ganglion block? :;Constipation;Mydriasis;Vasodilation and hypotension;Increased sweating;Cycloplegia;Increased sweating;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5650;
Compared to PROPOFOL, FOSPROPOFOL has:;Increased tendency to hypotension;Longer duration of action;Increased cardiac toxicity;Increased water solubility;Absence of respiratory depression;Increased water solubility;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5651;
Indicate which of the following diuretic agents is also able to act on the vascular muscles by inducing vasodilation;Hydrochlorothiazide;Furosemide;Indapamide;Ethacrynic acid;Chlorthalidone;Indapamide;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5652;
Indicare quale tra i seguenti agenti diuretici è anche in grado di agire sulla muscolatura vasale inducendo vasodilatazione;Idroclorotiazide;Furosemide;Indapamide;Acido etacrinico;Clortalidone;Indapamide;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5653;
One of the statements below regarding barbiturates is TRUE. Indicate which:;Induce increased blood pressure levels;They are not addictive;The mechanism of action is to be related to a dopaminemimetic action at the level of the ascending reticular system;Ethanol enhances its effects;Barbiturates displace benzodiazepines from the binding site by antagonizing their effects;Induce increased blood pressure levels;Pharmacology II;EN;Set C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5654;
 Which of the drugs listed below is an anti TNF alpha monoclonal antibody? :;Cosentyx;Efalizumab;Infliximab;Ustekinumab;Pembrolizumab;Infliximab;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5655;
Elevated temperature, hot, dry skin, tachycardia, and mydriasis are most likely symptoms of (x3);Ingestion of a medicine containing atropine;Exposure to an organophosphate-containing insecticide;Ingestion of phenylephrine-containing eye drops;Acetaminophen overdose;Amphetamine-containing diet pills;Ingestion of a medicine containing atropine;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5656;
Elevated temperature, hot, dry skin, tachycardia, and mydriasis are most likely symptoms of (x3);Ingestion of a medicine containing atropine;Exposure to an organophosphate-containing insecticide;Ingestion of phenylephrine-containing eye drops;Acetaminophen overdose;Amphetamine-containing diet pills;Ingestion of a medicine containing atropine;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5657;
Short-acting sympathomimetic bronchodilators activate adrenergic B2 receptors and... NOT?????;Prevent degranulation of mast cells;Inhibit mucus secretion;Reduce microcirculation permeability;Promote mucociliary clearance;Limit the release of Acetylcholine;Inhibit mucus secretion;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5658;
Enalapril exerts its antihypertensive activity by:;Inhibition of angiotensin converting enzyme I;Action α2 central agonist;α2 antagonist action;Action alpha1 atagonist;Antagonistic action on angiotensin II receptors;Inhibition of angiotensin converting enzyme I;Pharmacology II;EN;Set C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5659;
Which of the following is not responsible for hypokalemia alkalosis under thiazide diuretic treatment?;Reduced proximal reabsorption of bicarbonate ions (HCO3;Inhibition of cotransport Na+/Cl- in the distal tubule;Increased intraluminal K+ secretion;Reduced concentration of Ca<sup>2+</sup> in the collector duct lumen;Increased release of Na+ at the distal convoluted tubule level;Inhibition of cotransport Na+/Cl- in the distal tubule;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5660;
Etomidate:;Inhibits adrenal steroid biosynthesis;It is not indicated in patients at risk of cardiovascular instability;May reduce mortality of ICU patients;Induction is slow;Has low protein drug binding;Inhibits adrenal steroid biosynthesis;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5661;
Which of the following statements about Riluzole is correct?;Activates the expression of voltage-dependent channels of the Na;Stimulates the release of GABA in the Synaptic wall;Increases the expression of voltage-dependent channels of Na;Inhibits ionotropic receptors glutamatergics that have the iGluR2 subunit;Inhibits the expression of metabotropic glutamate receptors;Inhibits ionotropic receptors glutamatergics that have the iGluR2 subunit;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5662;
What is the mechanism of action of ethacrynic acid;Competitively antagonizes the action of aldosterone;Binds to sulfhydryl enzymes;Inhibits the reabsorption of electrolytes in the Henle's anxiety ascendant;Inhibits active sodium reabsorption, reducing potassium excretion in the distal tubule. ;Inhibits carbonic anhydrase;Inhibits the reabsorption of electrolytes in the Henle's anxiety ascendant;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5663;
Quali delle seguenti affermazioni riguardo il Riluzolo è corretta?;Attiva l'espressione dei canali voltaggio dipendenti del Na;Stimola il rilascio di GABA nel vallo sinaptico;Aumenta l'espressione dei canali voltaggio dipendenti del Na;Inibisce i recettori ionotropici glutammatergici che hanno la subunità iGluR2;Inibisce l'espressione dei recettori metabotropici del glutammato;Inibisce i recettori ionotropici glutammatergici che hanno la subunità iGluR2;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5664;
Qual è il meccanismo d'azione dell' acido etacrinico;Antagonizza in modo competitivo l'azione dell'aldosterone;Si lega ad enzimi sulfidrilici;Inibisce il riassorbimento degli elettroliti nella parte ascendente dell'ansia di Henle;Inibisce il riassorbimento attivo del sodio, riducendo l'escrezione del potassio nel tubulo distale;Inibisce l'anidrasi carbonica;Inibisce il riassorbimento degli elettroliti nella parte ascendente dell'ansia di Henle;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5665;
I broncodilatatori simpaticomimetici a breve durata d'azione attivano i recettori B2 adrenergici e‚Ä¶ NON?????;Prevengono la degranulazione delle mastocellule;Inibiscono la secrezione di muco;Riducono la permeabilità del microcircolo;Promuovono la clearance mucociliare;Limitano la liberazione di Acetilcolina;Inibiscono la secrezione di muco;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5666;
